#,default, MİNİMUM, DÜŞÜK, ORTA, YÜKSEK, MAKSİMUM,,,,,,,,,,,
#,tax,75,,,,,,,,,,,,,,,
#,idcards,GÖNÜLLÜ,YAYGIN,ZORUNLU,BİYOMETRİK,AĞIR ZORUNLU,,,,,,,,,,,
#,speedcameras, DENEMELER, KAZA NOKTALARI, OKULLAR dışında, YERLEŞİM ALANLARI, YAYGIN, HER YERDE,,,,,,,,,,
#,militaryspending, YALNIZCA TÖRENSEL, YEDEKLER, HAFİF SAVUNMA, İYİ EĞİTİMLİ, YÜKSEK EĞİTİMLİ, EZİCİ GÜÇ,,,,,,,,,,
#,armedpolice, UZMANLAR,HER BÖLÜMDE,YAYGIN,HER SUBAY SİLAHLI,MAKİNELİ TÜFEKLER,,,,,,,,,,,
#,cctv,SADECE SUÇ MAHALLELERİ,ŞEHİR MERKEZLERİ,YAYGIN,HER SOKAK KÖŞESİ,YÜZ TANIMA SİSTEMİ,,,,,,,,,,,
#,universitygrants, ÖDENEN KISMİ ÜCRETLER, ÖDENEN ÜCRETLER, YOKSUL ÖĞRENCİLER İÇİN HİBELER, KISMİ HİBELER, HERKES İÇİN HİBELER, CÖMERT HİBELER,,,,,,,,,,
#,marriedtax, KÜÇÜK, AVANTAJLI, TEŞVİK,,,,,,,,,,,,,
#,gunlaws,LİMİTSİZ,MAKİNELİ TÜFEK YOK,OTOMATİK YOK,LİSANS GEREKLİ,LİSANS VE MİNİMUM YAŞ,sıkı KONTROLLER,TOPLAM YASAK,,,,,,,,,
#,prisons, AŞIRI KALABALIK HÜCRELER, PAYLAŞILAN HÜCRELER, TEMEL HÜKÜMLER, MODERN BİNALAR, SON TEKNOLOJİ HAPİSHANELER,,,,,,,,,,,
#,narcotics,YASADIŞI,TIBBİ ESRAR,ESRAR İÇİN YAŞ SINIRI,ESRARI YASALLAŞTIRMAK,LSD'Yİ YASALLAŞTIRMAK,EROİNİ YASALLAŞTIRMAK,TÜM İLAÇLARI YASALLAŞTIRMAK,,,,,,,,,
#,internetcensorship, AŞIRI DURUMLARDA, POLİSİN TALEBİ ÜZERİNE,BAZI SİTELER ENGELLENDİ, TÜM TRAFİK İZLENDİ,,,,,,,,,,,,
#,gambling, SINIRLI BAHİS, YAŞ SINIRI, BAHİS SINIRI YOK, KISITLAMA YOK,,,,,,,,,,,,,
#,schoolprayers, EBEVEYNLERİN İSTEĞİ ÜZERİNE, İSTEĞE BAĞLI, HAFTADA BİR, GÜNLÜK, GÜNDE İKİ KEZ,,,,,,,,,,,
#,pollutioncontrols, MİNİMUM İZLEME, KAPSAMLI İZLEME, HÜKÜMET HEDEFLERİ, KISITLAMALAR VE PARA CEZALARI, BÜYÜK PARA CEZALARI,,,,,,,,,,,
#,deathpenalty,SADECE TOPLU KATİLLER,CİNAYET,CİNAYET VE TECAVÜZ,ŞİDDET İÇEREN SUÇLAR,CİDDİ SUÇLAR,ÇOĞU SUÇ İÇİN,,,,,,,,,,
#,jurytrial,İSTİSNAİ DURUMLARDA,CİDDİ DURUMLARDA,TALEP EDİLMESİ HALİNDE,YAYGIN,EVRENSEL,,,,,,,,,,,
#,nationalservice,TEMEL EĞİTİM,3 AYLIK HİZMET,6 AYLIK HİZMET,1 YILLIK HİZMET,PERİYODİK HİZMET,,,,,,,,,,,
#,organdonation, İSTEĞE BAĞLI OLARAK, EN YAKIN AKRABA tarafından ONAYLANIRSA, VARSAYILAN RIZA, EVRENSEL (Vazgeçme yok),,,,,,,,,,,,
#,alcohollaw, SINIR YOK,MİNİMUM YAŞ 16,MİNİMUM YAŞ 18,MİNİMUM YAŞ 21,YALNIZCA DÜŞÜK MUKAVEMETLİ BİRA,GÜÇLÜ KISITLAMALAR,,,,,,,,,,
#,healthservice, HAYATI TEHDİT EDEN OPERASYONLAR, TÜM BÜYÜK OPERASYONLAR, YALNIZCA CİDDİ HASTALIKLAR, BAZI ÖNLEME, MÜKEMMEL SAĞLIK HİZMETİ,,,,,,,,,,,
#,gatedcommunities, CESARETİ KIRILMIŞ, KAYITSIZ, CESARETLENDİRİLMİŞ,,,,,,,,,,,,,
#,labourlaws, İŞVEREN YANLISI,DENGELİ,SENDİKA YANLISI,,,,,,,,,,,,,
#,intel, BİRKAÇ CASUS, KÜÇÜK CASUS AJANSI, BÜYÜK CASUS AJANSI, YÜKSEK TEKNOLOJİ CASUS HİZMETİ, CASUS UYDU AĞI,,,,,,,,,,,
#,roadbuilding, TEMEL BAKIM, TEMEL BAKIM, MEVCUT YOLLAR SABİT, BİR MİKTAR GENİŞLEME, BÜYÜK GENİŞLEME, BÜYÜK YENİ YOL AĞLARI,,,,,,,,,,
#,phonetapping, HÜKÜMET KARARNAMESİ İLE, ADLİ DÜZEN İLE, POLİS ŞEFİNİN RIZASI İLE, POLİS TALEBİ ÜZERİNE, YAYGIN KULLANIM, EVRENSEL İZLEME,,,,,,,,,,
#,detention, 72 SAAT, 7 GÜN, 30 GÜN,90 GÜN,SINIRSIZ,,,,,,,,,,,
#,creationism, KÖKTENDİNCİ, DİNİ VURGU, BİLİM VURGUSU, SEKÜLER, ATEİST,,,,,,,,,,,
#,curfews, 16 YAŞIN ALTINDAKİLER İÇİN, BELİRLİ BÖLGELERDE, SABAH 1'DEN SABAH 3'E, SABAH 12'DEN SABAH 6'YA, AKŞAM 10'DAN AKŞAM 8'E,,, ,,,,,,,,
#,welfarefraud, RAPORLAMA hattı, BASIN REKLAM KAMPANYALARI, TV REKLAM KAMPANYALARI, GİZLİ ARAŞTIRMACILAR,,,,,,,,,,,,
#,recycling, POSTER KAMPANYASI, ŞİŞE BANKALARI, GERİ DÖNÜŞÜM MERKEZLERİ, SINIRLI KAPI KOLEKSİYONU, EVRENSEL KAPI KOLEKSİYONU,,,,,,,,,,,
#,sciencefunding, TEST TÜPLERİ, MİKROSKOPLAR, ELEKTRON MİKROSKOPLARI, PARÇACIK HIZLANDIRICILAR,,,,,,,,,,,,
#,stateschools, AHŞAP OKUL KİTAPLARI, PAYLAŞILAN DERS KİTAPLARI, MODERN DERS KİTAPLARI, ÖĞRENCİ DİZÜSTÜ BİLGİSAYARLARI,,,,,,,,,,,,
#,bordercontrols, RASTGELE PASAPORT KONTROLLERİ, PASAPORT KONTROLLERİ, BİYOMETRİK KONTROLLER, SİLAHLI MUHAFIZLAR, RETİNA TARAMALARI,,,,,,,,,,,
#,consumerrights, SINIRLI HAKLAR, MAL İADE HAKKI, OTOMATİK İADELER, SOĞUMA SÜRELERİ,,,,,,,,,,,,
#,inheritancetax,75,,,,,,,,,,,,,,,
#,maternityleave, ÇEYREK ÖDEME, yarım ÖDEME, DÖRTTE ÜÇ ÖDEME, TAM ÖDEME, TAM + BABALIK İZNİ,,,,,,,,,,,
#,spaceprogram, TELESKOPLAR, BÜYÜK TELESKOPLAR, TELESKOP DİZİLERİ, UYDULAR, İNSANSIZ SONDALAR, YENİDEN KULLANILABİLİR ROKETLER, YENİDEN KULLANILABİLİR MEKİK, UZAY İSTASYONU,,,,,,,,
#,abortion, TOPLAM YASAK,HAYATİ TEHLİKE, SINIRLI KOŞULLAR,2 DOKTOR ONAYI, TALEP ÜZERİNE,,,,,,,,,,,
#,artssubsidies, KUKLA GÖSTERİSİ, SİRKLER, DÜŞÜK BÜTÇELİ FİLMLER, TİYATROLAR, SANAT GALERİSİ, OPERA BİNASI,,,,,,,,,,
#,corptax,50,,,,,,,,,,,,,,,
#,capgains,50,,,,,,,,,,,,,,,
#,incometax,90,,,,,,,,,,,,,,,
#,luxtax,90,,,,,,,,,,,,,,,
#,salestax,50,,,,,,,,,,,,,,,
#,junkfood,90,,,,,,,,,,,,,,,
#,tasers, AŞIRI DURUMLAR, NADİR KULLANIM, NADİR KULLANIM, YAYGIN KULLANIM, RUTİN, HER YERDE,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,dronestrikes, GÖZETİM, ALTYAPI GREVLERİ, CERRAHİ GREVLER, ÖNLEYİCİ GREVLER,,,,,,,,,,,,
#,electriccars, TOPLU TAŞIMA, TAKSİLER, GAZLA ÇALIŞAN ARABALARI YASAKLAYIN,,,,,,,,,,,,,
#,floodawareness, UYARI SİSTEMİ, uyarı SİSTEMİ, TAHMİN SİSTEMİ, UZUN VADELİ TAHMİN SİSTEMİ,,,,,,,,,,,,
#,childpolicy,EĞİTİM PROGRAMI,İKİNCİ ÇOCUK İÇİN İSTİSNALAR,İKİNCİ ÇOCUK İÇİN ÜCRETLER,ZORUNLU KISIRLAŞTIRMA,,,,,,,,,,,,
#,rareearth, ARAŞTIRMA HİBELERİ, KEŞİF MADENLERİ, SEÇİLMİŞ ALANLAR, YAYGIN ÇIKARMA,,,,,,,,,,,,
#,driverless, ÖZEL ARSALARDA, AYRI ŞERİTTE, METROPOL ALANLARDA, OTOYOLLARDA,,,,,,,,,,,,
#,marsprogram, MARS GÖZLEMEVİ, MARS UYDUSU, MARS SONDASI, OTONOM İNİŞ ARACI, İNSANLI GÖREV, MARS ÜSSÜ,,,,,,,,,,
#,research, LABORATUVAR EKİPMANLARI, BİLİMSEL PERSONEL, SPONSORLU PROFESÖRLÜK, ARAŞTIRMA ENSTİTÜSÜ,,,,,,,,,,,,
#,retirementdisclosure,KAMU EMEKLİLİK HESAPLAYICISI,DEVLET EMEKLİLİK ENDEKSİ,BİREYSEL EMEKLİLİK HESAPLARINI AÇ,KAMU BİREYSEL EMEKLİLİK HESAPLARI,ÖMÜR BOYU GELİR ENDEKSİ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,automatedtrading, FREKANS LİMİTLERİ, İŞLEM GECİKMELERİ, DEVRE KESİCİLER, YÜKSEK FREKANS YASAĞI, TOPLAM YASAK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,ban, PARA CEZALARI, KISITLAMALAR, YASAK,,,,,,,,,,,,,
#,cityban,BAZI KISITLAMALAR,YALNIZCA TİCARİ,YALNIZCA DEVRE DIŞI,TOPLAM BANLAMA,,,,,,,,,,,,
#,secretcourts, YALNIZCA TERÖRİZM, ORGANİZE SUÇ, ÖLÜM SUÇLARI, GÜNDELİK SUÇLAR,,,,,,,,,,,,
#,censorship,SANSÜRLÜ GAZETELER,TELEVİZYON İZLENİR,TELEVİZYON VE RADYO İZLENİR,TÜM MEDYA İZLENİR,,,,,,,,,,,,
#,torturedevices, NÜKLEER TEHDİTLER, AĞIR TEHDİTLER, TÜM TEHDİTLER, ŞİDDET İÇEREN SUÇLAR, ÖNLEYİCİ TEDBİRLER,,,,,,,,,,,
#,workforunemployed, GÖNÜLLÜLERİN TERCİH ETTİĞİ,UZUN SÜRELİ İŞSİZ, ÇOĞU İŞSİZ, HEPSİ İŞSİZ,,,,,,,,,,,,
#,taxreturns, SADECE İSİMLER VE TARİHLER, BAZI DETAYLAR, TÜM DETAYLAR,,,,,,,,,,,,,
#,foreignchurchban, KÜÇÜK KİLİSELER YASAKLANDI, HEPSİ YASAKLANDI,,,,,,,,,,,,,,
#,flagsoncorners, BÜYÜK ŞEHİR SOKAKLARI, ÇOĞU ŞEHİR SOKAĞI, HER SOKAK,,,,,,,,,,,,,
#,nationalnewsanthems, DEVLET KANALLARI, TÜM KANALLAR, HABER SPİKERİ ŞARKI SÖYLÜYOR!,,,,,,,,,,,,,
#,anthemsinschool,16-18 YAŞ,14-18 YAŞ,10-18 YAŞ,TÜM OKULLAR,,,,,,,,,,,,
#,churchattendance, KATILMAMA UYARILARI, KATILMAMA CEZALARI, KATILMAMA CEZASI,,,,,,,,,,,,,
#,religiousoath, ORDU İÇİN, POLİTİKACILAR İÇİN, DEVLET ÇALIŞANLARI İÇİN, TÜM VATANDAŞLAR İÇİN,,,,,,,,,,,,
#,religiousbroadcasts, DEVLETE AİT KANAL,TÜM KANALLAR İÇİN DESTEK,ÖZEL KANALLAR,,,,,,,,,,,,,
#,bandivorce, 2 YILLIK AYRILIK GEREKLİ, ANCAK TEHLİKELİ EŞ VARSA, TAM YASAK,,,,,,,,,,,,,
#,banhomosexuality, TERFİ YASAĞI,HALKA AÇIK GEZİ YASAKLANDI, HAPİS CEZASINA ÇARPTIRILABİLİR,,,,,,,,,,,,,
#,ceopay, 100x ORTALAMA, 50x ORTALAMA, 20x ORTALAMA, 10x ORTALAMA, 5x ORTALAMA,,,,,,,,,,,
#,unionban, OY GEREKLİ, ŞİRKETLERİN TAKDİR YETKİSİ, TOPLAM YASAK,,,,,,,,,,,,,
#,closeairports, NAVLUN, YURTİÇİ, ULUSLARARASI, UZUN MESAFE, HEPSİ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,righttodie, AŞIRI DURUMLARDA, BİRDEN FAZLA DOKTOR ANLAŞMASI, TEK DOKTOR ANLAŞMASI, AİLE ANLAŞMASI, İSTEĞE BAĞLI,,,,,,,,,,,
#,righttoprivacy, BAZI KISITLAMALAR, BÜYÜK KISITLAMALAR, TOPLAM İZLEME YASAĞI,,,,,,,,,,,,,
#,gendertransition, DOKTORLAR ANLAŞMASI ARTI YAŞ SINIRI, DOKTORLAR ANLAŞMASI, İSTEĞE BAĞLI OLARAK, DEVLET TARAFINDAN SÜBVANSE EDİLİR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,reforestation,1 MİLYON / YIL,20 MİLYON / YIL,40 MİLYON / YIL,60 MİLYON / YIL,80 MİLYON / YIL,100 MİLYON /YIL,,,,,,,,,,
#,prisonregime, NAZİK, DENGELİ, SERT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,termlength3 Yıl,4 Yıl,5 Yıl,6 Yıl,7 Yıl,,,,,,,,,,,
#,termlimit,2,3,4,5,HİÇBİRİ,,,,,,,,,,,
#,gamehunting,DÜZENLENMEMİŞ,LİSANSLI,ÇİTLE ÇEVRİLİ ÜCRETLER,YASAKLANMIŞ,,,,,,,,,,,,
#,languages, YABANCI İŞ DİLİ, ÇOKLU YABANCI DİLLER,,,,,,,,,,,,,,
#,fgmban,KADINLAR İÇİN YASAKLANDI,YASAKLANDI (ERKEK VE KADIN),AĞIR PARA CEZALARI,HAPİS CEZASI,,,,,,,,,,,,
#,genderact, YASAL EŞİTLİK, OLUMLU EYLEM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,selectiveschooling, SEÇİM YOK,AYRI SINIFLAR, TARAFSIZ, ÖZEL OKULLAR, EN İYİ OKULLARI SÜBVANSE EDİN,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,monorail, MONORAY (85 MİL / SAAT), YÜKSEK HIZLI TREN (100 MİL / SAAT), HIZLI TRENLER (160 MİL / SAAT), MAGLEV TRENLERİ (200 MİL / SAAT), HYPERLOOP (340 MİL / SAAT),,,,,,,,,,,
#,nuclearfission, ÇÜRÜTME MEVCUT,ÖMRÜNÜN SONUNDA ÇÜRÜTME,ÖMRÜNÜ UZATMAK,GENİŞLEME,YAYGIN GENİŞLEME,SÜBVANSİYONLAR,CÖMERT SÜBVANSİYONLAR,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,retirement,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
,,,,,,,,,,,,,,,,,
#,citizenshipforsale, SÜPER ZENGİN, ZENGİN, ÜST ORTA SINIF, ORTA SINIF,,,,,,,,,,,,
#,immigrationrules, BÜYÜK KISITLAMALAR,VASIFLI VE ANADİL,VASIFLI,İŞ TEKLİFLİ,sınırları açık,,,,,,,,,,,
#,refugeepolicy, TOPLAM YASAK,YALNIZCA SAVAŞ BÖLGELERİNDEN,SAVAŞ BÖLGELERİ VE FELAKETLER,ZULÜMDEN KAÇMAK, ÇEK YOK,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#,competitionlaw,PROFESYONEL BÜYÜK İŞLETME,DENGELİ,PROFESYONEL KÜÇÜK İŞLETME,,,,,,,,,,,,,
#,nukes, BOMBARDIMAN UÇAKLARI, UZUN MENZİLLİ BOMBARDIMAN UÇAKLARI, FÜZELER, ICBM, DENİZALTIDAN FIRLATILAN, DENİZALTIDAN FIRLATILAN MIRV'LER, YÖRÜNGE BOMBARDIMAN UÇAKLARI,,,,,,,,,
#,socialmedia, AŞIRILIK YANLILARI YASAKLANDI, AŞAĞI ÇEKME POLİTİKALARI, AKTİF İZLEME, YAŞ KISITLAMALARI, ZAMAN KISITLAMALARI, TOPLAM YASAK,,,,,,,,,,


#,money_supply1,50,,,,,,,,,,,,,,,
#,money_supply2,-50,,,,,,,,,,,,,,,
#,mpt, Planlı, Arsa Satın Alındı, İnşaat şirketi İşe Alındı, Bina Başladı,% 25,% 50, Bina Tamamlandı, Dış Altyapı, Temizlik, Tamamlandı,,,,,
#,PPF, Temel Personel, Temel Koruyucu Donanım, PPF Planları, PPF Özel Ekipmanı, PPF Özel Muhafaza Araçları, PPF Ekipleri Eğitimi, PPF Uyarı Sistemleri, PPF Özel Harekat Ekibi, PPF Deniz Varlıkları, PPF Tahliye Merkezleri,,,,,,,
#,StateAnimalShelters, Küçük Barınaklar, Barınak Başına 5 Bakım Veren, Temel Eğitim, Orta Barınaklar, Barınak Başına 10 Bakım Veren, Temel Habitat Zenginleştirme, Dezenfektan Tabletler, Standart Eğitim, Artan Evcil Hayvan Malzemeleri, Reklamlar, Büyük Barınaklar, Barınak Başına 20 Bakım Veren,,,,
#,StateAnimalControl, Ekipman veya Eğitim Yok, Temel Eğitim, Elleçleme Eldivenleri, Jab Çubukları, Hayvan Kontrol Direkleri, Hayvan Kapmak, Ağızlıklar, Kafes Ağları, Kedi / Köpek Tuzakları / Densleri, Standart Eğitim, CO2 Tabancaları, Dart Tabancaları, Mezar Kutuları, Sedyeler ve Asansörler, Hayvan İzleme Mikroçipleri,
#,StateOrphanages, Küçük Çocuk Evleri [10-20], Eski Dönüştürülmüş Binalar [50-80], Orta Devlet tarafından inşa Edilmiş Yetimhaneler [100-200], Beş Yetim Başına Bir Personel, Günde iki Öğün Yemek, Temel Hibeler, Dört Yetim Başına Bir Personel, Büyük Devlet tarafından inşa Edilmiş Yetimhaneler [1000-2000], İyileştirilmiş yemek kalitesi, iş ve rehabilitasyon Eğitim, Günde 3 Öğün Yemek, Devasa Devlet tarafından İnşa Edilmiş Yetimhaneler [5000-8000], Üç Yetim Başına Bir Personel, İyileştirilmiş Personel Eğitimi, iki Yetim Başına Bir Personel,
#,PoliceTraining, Eğitim Yok, Minimum Tırmanma Eğitimi, Minimum El Ele Eğitim, Minimum isyan Kontrol Eğitimi, Minimum Ateşli Silah Eğitimi, Minimum Sürücü Eğitimi, Minimum SWAT / HRT Eğitimi, Tam Standart Eğitim Kursu, TVI Eğitimi, Takip Oluşumu Eğitimi, Gizli Eğitim, Soruşturma Eğitimi, Sorgulama Eğitimi, Tam İleri Eğitim,,